,Alchemy of Souls,Business Proposal,Crash Landing on You,Death's Game,Descendants of the Sun,Doom at Your Service ,Itaewon Class,Flower of Evil,Goblin ,Ghost Doctor,Happiness,Lovely Runner,Marry My Husband,Moving,Shopping King Louie,Strong Woman Do Bong Soon,Tale of the Nine Tailed,The Glory,The Good Bad Mother,The Secret Garden,Time Called to You,Tomorrow,Twinkling Watermelon,Uncounting Counter,Vincenzo,Queen of Tears
clench fists,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,,,,
coma,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,
comforting pat,,yes,yes,no,yes,,yes,,,,yes,yes,,,yes,,,,,,,,yes,,,
commemoration of ancestors,,yes,,no,,,yes,,,,no,yes,,,yes,,,,,,,,,,,
cooking,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,,,,
countdown,,yes,,no,yes,,yes,,,,no,no,,,,,,,,yes,,,yes,,,
divination,,no,,no,no,,no,,,,no,yes,,,,,,,,,,,,,,
exam,,no,,no,no,,no,,,,no,yes,,,,,,,,,,,,,,
exorcism / rithual,,yes,,no,no,,no,,,,no,yes,,,,,,,,yes,,,,,,
fireworks,,yes,,no,,,no,,,,no,yes,,,yes,,,,,,,,,,,
first year ceremony,,no,,yes,no,,no,,,,no,yes,,,,,,,,,,,yes,,,
first snow,,no,,no,yes,,yes,,,,no,yes,,,,,,,,yes,,,yes,,,
fishing,,yes,,no,yes,,no,,,,no,no,,,,,,,,,,,,,,
fish kiss,,yes,yes,no,no,,yes,,,,no,yes,,,yes,,,,,yes,,,yes,,,
folding linen and clothes,,yes,yes,no,,,yes,,,,no,yes,,,yes,,,,,yes,,,yes,,,
foreign trip,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
funeral,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,yes
hair washing,,yes,,no,yes,,no,,,,yes,yes,,,,,,,,yes,,,,,,
corporative/afterpaty/hweshik,,yes,,yes,yes,,yes,,,,no,yes,,,yes,,,,,yes,,,,,,
interview,,no,,yes,,,yes,,,,no,yes,,,,,,,,yes,,,,,,
kneel,,yes,,yes,,,yes,,,,no,yes,,,yes,,,,,yes,,,yes,,,
medical tests,,yes,,yes,yes,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
meeting parents,,yes,yes,no,yes,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
mountain hiking,,yes,yes,yes,,,no,,,,no,no,,,,,,,,yes,,,,,,
naked torso / topless man,,yes,,no,yes,,no,,,,no,yes,,,yes,,,,,yes,,,yes,,,
nosebleed,,yes,,yes,,,yes,,,,no,no,,,yes,,,,,yes,,,yes,,,
piggy back ride,,yes,yes,yes,yes,,yes,,,,no,yes,,,yes,,,,,,,yes,yes,,,yes
pinky promise,,yes,,yes,,,no,,,,no,yes,,,yes,,,,,,,,yes,,,
picnick,,no,,no,,,yes,,,,yes,yes,,,,,,,,,,,,,,
prophetic dream,,,,,,,no,,,,,,,,,,,,,yes,,,,,,
proposal,,yes,,no,,,no,,,,yes,yes,,,yes,,,,,yes,,,,,,
pour drinks like a pro,,yes,,yes,,,yes,,,,no,no,,,,,,,,,,,,,,
real tears crying,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,yes,yes,,,yes
rock-paper-scissors,,yes,,no,,,no,,,,no,no,,,,,,,,,,,yes,,,
rumbling in the stomach,,yes,,no,yes,,no,,,,no,yes,,,yes,,,,,,,,yes,,,
running / jogging,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
serious illness,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
sharp car/motorbike turn,,yes,,yes,yes,,yes,,,,no,yes,,,,,,,,yes,,,,,,
shopping,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
signing a contract,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
sign languages,,no,,no,,,no,,,,yes,no,,,,,,,,,,,yes,,,
sleep in clothes,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,,,,,,,
studies,,no,,yes,,,yes,,,,yes,yes,,,,,,,,,,,yes,,,
suicide/attempted suicide,,no,,yes,,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
teeth cleaning,,yes,,no,yes,,no,,,,no,yes,,,,,,,,,,,,,,
wedding,,no,,yes,,,no,,,,no,yes,,,yes,,,,,,,,,,,
washing ,,no,,no,,,no,,,,no,no,,,,,,,,,,,yes,,,
waste sorting,,yes,,no,,,no,,,,yes,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
apron,,yes,,yes,,,yes,,,,yes,no,,,,,,,,yes,,,yes,,,
baseball bat,,no,,yes,,,yes,,,,yes,no,,,yes,,,,,,,,,,,
baseball hat ,,yes,,yes,yes,,,,,,yes,yes,,,yes,,,,,,,,yes,,,
bicycle,,no,,yes,yes,,yes,,,,no,yes,,,yes,,,,,yes,,,yes,,,
bouquet,,yes,,yes,yes,,no,,,,no,yes,,,,,,,,yes,,,yes,,,
cash,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
coffee maker,,yes,,yes,yes,,no,,,,no,yes,,,,,,,,,,,yes,,,
credit card,,yes,,yes,,,no,,,,yes,,,,yes,,,,,,,,,,,
designer“s / brend items,,yes,,yes,,,yes,,,,no,yes,,,,,,,,yes,,,yes,,,
drop counter,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,,,,yes,,,
european cutlery,,yes,,yes,,,yes,,,,no,yes,,,,,,,,yes,,,,,,
family pictures,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
golf iron,,yes,,no,,,no,,,,yes,no,,,,,,,,yes,,,,,,
hanbok,,no,,no,,,yes,,,,no,yes,,,,,,,,yes,,,,,,
handcuffs,,yes,yes,yes,,,no,,,,yes,yes,,,,,,,,,,,yes,,,
headphones / earphones,,yes,,yes,,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
head rim,,yes,,no,,,yes,,,,no,yes,,,,,,,,,,,yes,,,
kitchen knife,,yes,,yes,yes,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
medical mask,,yes,,no,yes,,yes,,,,yes,yes,,,yes,,,,,,,,yes,,,
medicine,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
microwave,,no,,,,,no,,,,yes,,,,,,,,,,,,,,,
money count,,yes,,yes,,,yes,,,,no,,,,,,,,,,,,,,,
paired items,,yes,,,,,no,,,,no,yes,,,yes,,,,,yes,,,,,,
pan/saucepan,,yes,yes,,yes,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
patch,,no,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,,,,
people search flyer,,no,,no,,,yes,,,,no,no,,,yes,,,,,,,,yes,,,
ring,,yes,,,,,no,,,,yes,yes,,,,,,,,yes,,,,,,
Samsung or Apple phone,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,,,,,,,
scarf,,yes,,,,,no,,,,no,yes,,,,,,,,yes,,,,,,
scootter,,yes,,no,,,yes,,,,no,,,,,,,,,,,,yes,,,
slippers,,yes,yes,yes,yes,,no,,,,yes,yes,,,,,,,,,,,,,,
soft toy,,yes,,yes,yes,,no,,,,no,,,,yes,,,,,yes,,,yes,,,
shoes (close-up),,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
sunglasses,,yes,,yes,yes,,yes,,,,,yes,,,yes,,,,,yes,,,yes,,,
tickets,,no,,no,,,yes,,,,no,yes,,,,,,,,yes,,,yes,,,
traditional chopsticks and spoon,,yes,yes,yes,yes,,yes,,,,yes,yes,,,,,,,,yes,,,,,,
