1.0.0																		
38 Task Force Special		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17HFhphqmmIeNRVXMJST4tAkfN5yori_52yu5Id5_YJyT-MFHZldNJIcqoYtMEExpe9i9sPMwp0pvbrJEpo97LBEzPdALCwo8BfD55Q5AXs7Sa9wl_Nc513t7CYuyF-jKWf7VHzHT5KyMIef=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
A Korean Odyssey		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17EPzXLXzqQm0WwB6U6bHAPOQUbkO-3cpKngZGhgCimvGa9uFd7RCJeJL2YO9N19Zaif2DjAbCiRHdEodIzg0siVQYZlfoRL7R-7TrWfqTXtjvlcTbOP7oA59FWQ5Z13gk23wAlh9wBYKrSx=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
A Shop for Killers		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17HlNXZPGxnGY_TWGD-YBZixvsdl4LGk2GkLqRdHVRVGZauAU0Nalp2L8CZnHX3w0SPmvqnjM85zuT1ydsgqM5QikKBnmdLJ7OpXFz1_BdE1JPrN9FdmT_5Cv916dd_U-N_phcYYlm_tm7cz=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
A Time Called You		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17EXs8Hm9PiZcRuo1f_xzcKLA-WtgkrEdYpeIQG91Ls_dQHc42q9OxjvqmFJAkUF6CyEemDduGjiVQCsqfFgE5Ck6_V8lXHnP3fkB97Nm4LCjLKGk43dO3K_ofDapR6QEbJyy2bR9_QKpC-s=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Alchemy of Souls		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17Gq3SB-rRlu8Qyren6F18hjl7gWKJegFDubfCz5Onpt5HY500xcQPkJSgottTnlc8c_EyeYIXqubY3nzdWBUSDXyRH3nzj1gTNXZxWKHmFY9aB7HV7M7O3Obr2qgaHL5mr51SFjp5Oc7BI=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
All of Us Are Dead		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17EJPPRxTLix3oXriYWKGKOmosFPgH2Zkd2xhEOxCGWcHKRIjXLWNKYB-vSxrd4_5XXqh7b0KiRpoajf4A3BLarbC_p-X1VlD0ssse9VgXezpFUGitsFDOE8P7cxhlAQCYKh2O8HrkhkpRSo=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Big Mouth		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17Fjay-LC43PQMsZ86alGrPXPHUplxnJSJSVWKoI3cZzPr1DShdqGP8z4QbryS3uDuIT6MLszSLEK5YoAo85aYy6MIs2bZqlMhTo2l0aGLlguQVenIYmOB-TcZ3PHXQwTn0VuWSpgOmnkDwI=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Bloodhounds		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17HbgmwOYj31pWo1OTuPVcA7vYzaMPOfl0yQaw1Vq0bFrPSVMne6JdWq48upJJshEtQpHDvSmZsUAxufexAVaha5Eb7ioUd4nMotyBDweiMzMChAUi-An-lkX3Lku4OXBGafODLwUKs6zfc=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Business Proposal		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17G7wmeQ_sVhAQ_Lg3_rnq22SbHffP5lC2cwOPPxlzss16Ug9J_Hadzw9MC1e73nn6gQbV-JKPqFM5l523-Wi-Qs29kE8LfTGR55-7aftPoR1MfQjuFSTkP185g72DOgMx6OTSS-ZTHnbfwi=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
