1.0.0																		
38 Task Force Special		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17GyJHm2OefYmQUoYQ7vWlThdaSsE6OGxcJbPa8tAlBKa8PHDFeO-0j-WCuqvdMtn5x4QgUDTmptDuFlMFZ1hNaa2AHmcD8rUYR4otIv9D5z1gzxyhQyVrv2JKg8m36k7c0PKhO74R8YZG7w=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
A Korean Odyssey		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17FURJ2esI01YD9lIQT2ByhjmtYilg7mUBnfZc7473LR-IEX0cfwceY6OwnKrB_1gDLt_jBuBN8sIBUyjIPVISo_dgjnXjtvbu4_RSBQPb29lP9hWeg5pWhX7L9taTFTJtqlVZlY1DHQarUT=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
A Shop for Killers		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17HumPQnZK3ac6NMhOT68k7Ol5tmcK7SyEedt4-28HJ690Br1jVNhdKWFjRnkDpGeBxLMjp_aeXqhtsya3TxhhQRNyIDFbbrLgfSatrAboDDpuRmdQQsjOmYPgFOa7pTZ3_vf3rwaPhLC4lq=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
A Time Called You		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17EChPaNPZXt1eJ5K7LUuJk3bVqnNqBk0xSd1_wZ1x5xWIrldvIO5BvjCzEmQXwg7jX7KbNYg1bOxlGAXCIauVjBBtdn7-80rC0N_ixsS8EyaPV-aldhYiqca0pZetuOEc8FuLMXlVoPEunS=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Alchemy of Souls		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17FHgALrHSj_n4YqPzqup9d0GhN6XpMvLiqK4p65oxU80XlKg0jR2TczVqgaN2_HEUJKYWDDKY3HLlddWv5mqEwnJMWI8dMy34KSdVAg06izBBgRVIklaw3pEY92NuSjFslZiV_IgVlVYGw=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
All of Us Are Dead		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17GPFspAvuE3LVQCklqCvdbgQ93s3Bo4ZvsVyT6L2GDodVASgg2EBf1JUZdoMfUy0mi0dbRveFM7VZ48gnNMfRz1vbrWlIaIqpGfoZ_-cu1Q2Awi72RQScw7aFCre75Os5CKHvWL-XHhBTgu=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Big Mouth		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17F-D2Gvju3mlEVzZsi7U-30sTcYh9UXaBdgpbDU5wBmhZ_Svh0UWkeaKXTe4Yn6cCPzF6A1UU3j8zN77lWKzKp0Ou53DFk7vMwvSIgnfwZfmyosZvqIfARAH1IyHqXYx1-almuC2rJO5SzN=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Bloodhounds		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17EHwGL52FiQPK59DgEjWVnmM5WsWMP_-B12-ghAEf5xmEEkLdbiJNrqDVbRa3SL9bTBh16WOIEF5HKCKIElQNJozAb6V1p5zy38G27UPld2mLYLJFQQxaQ1xab7pqVmB0qTQtIVlDofhiI=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Business Proposal		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17HIwIdMtyjTbLSJjg4g7JBVMuKKJJa9ofWbb47k5Zk2UmunDfnTQC_CJb2vd_ZjEuyMhSMrCOhhNBJH-IoJ9_QXpqe457eE9Jtch0eA7ONzJmyujml_SQQybU6bpGNrh3u8LFMKmu1-Dt5Y=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Coffee Prince		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17F5XAjG-J3Qqo7l5NYzaqmflHmLO4rBHbUeORAZZyaqlMKdOx30Y9WmIcnTpEnqMllE6gkUX5TmdYzAOjP4dJKEwi9_XintVR5wMZQ43AmqUseRZbwzmPUd_rL4LCXtUsGrUamP9Dgt7pB2=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Crash Landing on You		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17EdL7BIPG0N0oCKbJHa3_ZrisELeSLGrS8gWHq135PB9b5xbjn0vaDe03hJhXhs71RKTpFziBTW0fupJw2s-VQ-Wfsxf84qaW7XO89rrfeM8v87lYNF8oLaD9KrFez3_L6-p6IiT1LtnDR2=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Death's Game		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17HAzAVyNhmSDas6VSmGjUhBYp04PqKTiCKax9tU4mD9SfF5NbqEoxU20VXfCxeax0NcBvKT65h3cQ80Cbb704xtTaPukMCcld7OV2iPYPfB2ZD16cQrFes_vy3Af3vY2cPfhye1TnnK3hg=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
Descendants of the Sun		https://lh7-rt.googleusercontent.com/sheetsz/AHOq17FH2ynYHOxaLFJD7qdA6te4WTMzHWjN1gkMQnuywi-chB64Cen1F9RmoRWTvPxps82lE6JIzAWPi6e7_iaFT05WSzvv0TXqXSk0I2EI9aBiTbKXUok14n5YE4M4701byh205FvyUYMtmMU=w315-h449?key=pXRsOlM8nghDTXXRqF_buA																
